dn	ndn	ch_id1	ch_id2	ch_id3	ch_id4	ch_id5	cl_lo	cl_hi	lang	key1	key2	key3	key4	fn	nfn	ft											
Maya Devi Temple		7SS07.07					4	9	both	Social Studies	Community	Everyday Life	Religious Sites	Maya_Devi_Temple.jpg		image											
Phoksundo Lake		7SS07.07					6	9	both	Social Studies	Geography	Landforms		Phoksundo_Lake.jpg		image											
Dry land		7SS07.08					6	9	both	Social Studies	Geography	Landforms		Dry_land.jpg		image											
Earthquake Rescue		7SS07.09					6	9	both	Science	Earth	Natural Disasters	Preparedness	Earthquake_Rescue.jpg		image											
Fire rescue		7SS07.09					6	9	both	Science	Earth	Natural Disasters	Preparedness	Fire_Rescue.jpg		image											
Afghanistan Flag		7SS09.02					5	10	both	Social Studies	Geography	Asia	Afghanistan	Afghanistan_Flag.jpg		image											
Bhutan Flag		7SS09.02					5	10	both	Social Studies	Geography	Asia	Bhutan	Bhutan_Flag.jpg		image											
Maldives Flag		7SS09.02					5	10	both	Social Studies	Geography	Asia	Maldives	Maldives_Flag.jpg		image											
Bangladesh Flag 		7SS09.02					5	10	both	Social Studies	Geography	Asia	Bangladesh	Bangladesh_Flag.jpg		image											
Sri Lanka Flag		7SS09.02					5	10	both	Social Studies	Geography	Asia	Sri Lanka	Sri_Lanka_Flag.jpg		image											
SAARC secreteriat		7SS09.02					5	10	both	Social Studies	Geography	Asia		SAARC_Secreteriat.jpg		image											
Video Call		7SS09.03					5	9	both	Science	IT	Internet		Video_Call.jpg		image											
Social Media		7SS09.03					5	9	both	Science	IT	Internet		Social_Media.jpg		image											
Online payment		7SS09.03					5	9	both	Science	IT	Internet		Online_payment.jpg		image											
Online Shopping		7SS09.03					5	9	both	Science	IT	Internet	 	Online_Shopping.jpg		image											
Password		7SS09.04					5	9	both	Social Studies	Issues	Solutions		Password.jpg		image											
Tokyo Olympic Games		7SS09.05					5	9	both	Social Studies	Community	Sports		Tokyo_Olympic_Games.jpg		image											
Sati Pratha		7SS05.03					5	9	both	Social Studies	Issues	Other Issues		Sati_Pratha.jpg		image											
Chickenpox 		7H04					6	9	both	Science	Medicine	Disease & Injury	Communicable	Chickenpox.jpg		image  											
Daura Suruwal		7H13	7SS02.07				4	8	both	Social Studies	Community	Everyday Life	Clothing	Daura_Suruwal.jpg		image  											
Ghatu dance		7H13					4	8	both	Social Studies	Arts	Dance	Folk Dance	Ghatu_dance.jpg		image  											
Hand movements		7H13					4	8	en	Social Studies	Arts	Dance		Hand_movements.jpg		image  											
Harmonium		7H12					4	8	both	Social Studies	Arts	Musical Instruments	Other Musical Instruments	Harmonium.jpg		image  											
Kauda dance		7H13					4	8	both	Social Studies	Arts	Dance	Folk Dance	Kauda_dance.jpg		image  											
Khaijadi		7H12					4	8	both	Social Studies	Arts	Musical Instruments	Other Musical Instruments	Khaijadi.jpg		image  											
Makeup for Acting 		7H13					6	8	both	Social Studies	Arts	Drama	Other Drama	Makeup_for_Acting.jpg 		image  											
Normal and Abnormal Throat		7H04					6	9	en	Science	Medicine	Disease & Injury	Other Disease	Normal_and_Abnormal_Throat.jpg		image  											
Tuberculosis		7H04					6	9	en	Science	Medicine	Disease & Injury	Tuberculosis	Tuberculosis.jpg		image  											
Urinary System		7H01					7	9	en	Science	Medicine	Human Body	Holistic	Urinary_System.jpg		image  											
हस्त मुद्रा	हस्त मुद्रा	7H13					4	8	np	Social Studies	Arts	Dance		हस्त_मुद्रा.jpg	हस्त_मुद्रा.jpg	image  											
Asamyukta Hasta Mudras		7H13					4	8	en	Social Studies	Arts	Dance	Folk Dance	Asamyukta_Hasta_Mudras.mp4		video											
Basics of Respiratory System		7H01					7	9	en	Science	Medicine	Human Body	Holistic	Basics_of_Respiratory_System.mp4		video											
Circulatory System		7H01					7	9	en	Science	Medicine	Human Body	Holistic	Circulatory_System.mp4		video											
Clay vessel 		7H11					4	8	en	Social Studies	Arts	Visual Art	Pottery	Clay_vessel.mp4 		video											
Coiling clay 		7H11					4	8	en	Social Studies	Arts	Visual Art	Pottery	Coiling_clay.mp4 		video											
Collage Cut Out Paper		7H11					4	8	both	Social Studies	Arts	Visual Art	Collage	Collage_Cut_Out_Paper.mp4		video											
Cricket for beginners		7H08					6	9	en	Social Studies	Community	Sports	Cricket	Cricket_for_beginners.mp4		video											
Culture and traditions of Nepal		7H13					4	8	both	Social Studies	Arts	Dance	Folk Dance	Culture_and_traditions_of_Nepal.mp4		video											
Cute animal drawing		7H10					4	8	en	Social Studies	Arts	Visual Art	Drawing	Cute_animal_drawing.mp4		video											
Drawing Animals for kids 		7H10					4	8	both	Social Studies	Arts	Visual Art	Drawing	Drawing_Animals_for_kids.mp4 		video											
Drawing the Basic Forms		7H10					4	8	en	Social Studies	Arts	Visual Art	Drawing	Drawing_the_Basic_Forms.mp4		video											
Drill with drum		7H06					6	8	en	Social Studies	Community	Sports	Drill	Drill_with_drum.mp4		video											
Emotional well being and mental health		7H02					6	9	en	Social Studies	Community	Psychology	Other Psychology	Emotional_well_being_and_mental_health.mp4		video											
English Skit		7H13					4	8	en	Social Studies	Arts	Drama	Plays	English_Skit.mp4		video											
Exercise of feet and ankle		7H06					6	9	en	Science	Medicine	Healthy Living	Fitness	Exercise_of_feet_and_ankle.mp4		video											
First aid measure of Chickenpox 		7H04					6	9	en	Science	Medicine	Disease & Injury	Communicable	First_aid_measure_of_Chickenpox.mp4		video											
Food Adulteration		7H03					5	8	en	Science	Medicine	Healthy Living	Nutrition	Food_Adulteration.mp4		video											
Herbal Medicines 		7H02					5	8	en	Science	Medicine	Other Medicine		Herbal_Medicines.mp4		video											
HIV and AIDS		7H04					6	9	en	Science	Medicine	Disease & Injury	AIDS	HIV_and_AIDS.mp4		video											
How does the Digestive System work		7H01					7	9	en	Science	Medicine	Human Body	Holistic	How_does_the_Digestive_System_work.mp4		video											
Human Digestive System		7H01					7	9	en	Science	Medicine	Human Body	Holistic	Human_Digestive_System.mp4		video											
Introduction to Nutrients		7H03					5	8	en	Science	Medicine	Healthy Living	Nutrition	Introduction_to_Nutrients.mp4		video											
Introduction to the Respiratory System		7H01					7	9	en	Science	Medicine	Human Body	Holistic	Introduction_to_the_Respiratory_System.mp4		video											
Kapalbhati		7H09					7	8	en	Social Studies	Community	Sports	Yoga	Kapalbhati.mp4		video											
Keshadi Padam dance		7H13					4	8	both	Social Studies	Arts	Dance	Folk Dance	Keshadi_Padam_dance.mp4		video											
Kumari dance		7H13					4	8	both	Social Studies	Arts	Dance	Folk Dance	Kumari_dance.mp4		video											
Leaf Printing		7H11					4	8	en	Social Studies	Arts	Visual Art	Printing	Leaf_Printing.mp4		video											
Learning to draw birds		7H10					4	8	en	Social Studies	Arts	Visual Art	Drawing	Learning_to_draw_birds.mp4		video											
Magar Cultural Dance		7H13	7H12				4	8	both	Social Studies	Arts	Dance	Folk Dance	Magar_Cultural_Dance.mp4		video											
Main Structures of Urinary System		7H01					7	9	en	Science	Medicine	Human Body	Holistic	Main_Structures_of_Urinary_System.mp4		video											
Matsyasana		7H09					7	8	en	Social Studies	Community	Sports	Yoga	Matsyasana.mp4		video											
Mixed Media Collages		7H11					4	8	en	Social Studies	Arts	Visual Art	Collage	Mixed_Media_Collages.mp4		video											
Nepali Folk Dance		7H13	7H12				4	8	both	Social Studies	Arts	Dance	Folk Dance	Nepali_Folk_Dance.mp4		video											
Pinching clay		7H11					4	8	both	Social Studies	Arts	Visual Art	Pottery	Pinching_clay.mp4		video											
Print Making on wood		7H11					4	8	en	Social Studies	Arts	Visual Art	Printing	Print_Making_on_wood.mp4		video											
Process of the Digestive System		7H01					7	9	en	Science	Medicine	Human Body	Holistic	Process_of_the_Digestive_System.mp4		video											
Sargam		7H12					4	8	en	Social Studies	Arts	Music	Other Music	Sargam.mp4		video											
"Sex, Gender and Orientation"		7H05					6	9	en	Social Studies	Issues	Other Issues		Sex_Gender_and_Orientation.mp4		video											
Sexual Abuse		7H05					6	9	en	Social Studies	Issues	Other Issues		Sexual_Abuse.mp4		video											
Sexual Violence 		7H05					6	9	en	Social Studies	Issues	Other Issues		Sexual_Violence.mp4		video											
Shading		7H10					4	8	en	Social Studies	Arts	Visual Art	Drawing	Shading.mp4		video											
The Heart		7H01					6	9	en	Science	Medicine	Human Body	Holistic	The_Heart.mp4		video											
Tuberculosis		7H04					6	9	en	Science	Medicine	Disease & Injury	Tuberculosis	Tuberculosis.mp4		video											
Ustrasana		7H09					7	8	both	Social Studies	Community	Sports	Yoga	Ustrasana.mp4		video											
Volleyball basics		7H08					6	9	en	Social Studies	Community	Sports	Volleyball	Volleyball_basics.mp4		video											
Lumbini		6SS02.04					4	10	both	Social Studies	Community	Everyday Life	Religious Sites	Lumbini.jpg		image											
Changunarayan Temple		6SS02.04					4	10	both	Social Studies	Community	Everyday Life	Religious Sites	Changunarayan_Temple.jpg		image											
Freedom of Speech		6SS03.04					5	9	both	Social Studies	Issues	Human Rights		Freedom_of_Speech.jpg		image											
उद्योग र व्यापार	उद्योग र व्यापार	6SS05.06					6	8	np	Social Studies	Economy	Other Economy		उद्योग_र_व्यापार.jpg	उद्योग_र_व्यापार.jpg	image											
Law Firm		6SS06.03					6	8	both	Social Studies	Economy	Law		Law_Firm.jpg		image											
Human Right Defenders		6SS07.11					6	9	both	Social Studies	Issues	Human Rights		Human_Right_Defenders.mp4		video											
Flood and Landslide Challenges 		6SS07.11					6	9	both	Science	Earth	Natural Disasters		Flood_and_Landslide_Challenges.mp4 		video											
Flood Risk Management 		6SS07.11					6	9	both	Science	Earth	Natural Disasters	Floods & Sea Rise	Flood_Risk_Management.mp4		video											
जनसङ्ख्या	जनसङ्ख्या	6SS08.04					6	9	np	Social Studies	Economy	Other Economy	Population	जनसङ्ख्या.jpg	जनसङ्ख्या.jpg	image											
मित्रराष्ट्रहरूले पुर्याएको योगदान	मित्रराष्ट्रहरूले पुर्याएको योगदान	6SS09.02					6	9	np	Social Studies	Community	Social Organization	Infrastructure	मित्रराष्ट्रहरूले_पुर्याएको_योगदान.jpg	मित्रराष्ट्रहरूले_पुर्याएको_योगदान.jpg	image											
नागढुङ्गा-नौबिसे सुरुङमार्ग आयोजना	नागढुङ्गा-नौबिसे सुरुङमार्ग आयोजना	6SS09.05					6	9	np	Social Studies	Community	Social Organization	Infrastructure	नागढुङ्गा_नौबिसे_सुरुङमार्ग_आयोजना.mp4	नागढुङ्गा_नौबिसे_सुरुङमार्ग_आयोजना.mp4	video											
कोरोना भाइरसबाट बच्	कोरोना भाइरसबाट बच्	6SS09.05					5	10	np	Science	Medicine	Healthy Living	Personal Hygiene	कोरोना_भाइरसबाट_बच्	कोरोना_भाइरसबाट_बच्	image											
वनस्पति र मानवबीचको सम्बन्ध	वनस्पति र मानवबीचको सम्बन्ध	6SS07.08					6	8	np	Science	Biology	Ecology	Other Ecology	वनस्पति_र_मानवबीचको_सम्बन्ध.jpg	वनस्पति_र_मानवबीचको_सम्बन्ध.jpg	image											
Process of Population Census		6SS08.02					6	10	np	Social Studies	Economy	Other Economy	Population	Process_of_Population_Census.mp4		video											
Population of Nepal		6SS08.04					6	10	np	Social Studies	Economy	Other Economy	Population	Population_of_Nepal.mp4		video											
Ways of Promoting Mental Health		6H02					6	9	en	Social Studies	Community	Psychology	Other Psychology	Ways_of_Promoting_Mental_Health.jpg		image											
Relations Between Mental and Physical Health		6H02					6	9	en	Social Studies	Community	Psychology	Other Psychology	Relations_Between_Mental_and_Physical_Health.jpg		image											
Problems and Management in Adolescence		6H05					6	9	en	Social Studies	Community	Education	Other Education	Problems_and_Management_in_Adolescence.jpg		image											
किशोरावस्थाका समस्याहरू र व्यवस्थापन	किशोरावस्थाका समस्याहरू र व्यवस्थापन	6H05					6	9	np	Social Studies	Community	Education	Other Education	किशोरावस्थाका_समस्याहरू_र_व्यवस्थापन.jpg	किशोरावस्थाका_समस्याहरू_र_व्यवस्थापन.jpg	image											
Factors to be Considered During Menstruation		6H05					6	9	en	Science	Medicine	Healthy Living	Personal Hygiene	Factors_to_be_Considered_During_Menstruation.jpg		image											
महिनावारीको समयमा ध्यान दिनुपर्ने कुराहरू	महिनावारीको समयमा ध्यान दिनुपर्ने कुराहरू	6H05					6	9	np	Science	Medicine	Healthy Living	Personal Hygiene	महिनावारीको_समयमा_ध्यान_दिनुपर्ने_कुराहरू.jpg	महिनावारीको_समयमा_ध्यान_दिनुपर्ने_कुराहरू.jpg	image											
Still Life		6H10					6	9	en	Social Studies	Arts	Visual Art	Other Visual Art	Still_Life.jpg		image											
स्थिर वस्तु चित्रण	स्थिर वस्तु चित्रण	6H10					6	9	np	Social Studies	Arts	Visual Art	Other Visual Art	स्थिर_वस्तु_चित्रण.jpg	स्थिर_वस्तु_चित्रण.jpg	image											
Perimeter of a Triangle		7M09					6	9	en	Mathematics	Geometry	Shapes	Triangle	Perimeter_of_a_Triangle.mp4		video											
